Typ;Ort;Datum;Uhrzeit;Art
Jede;Pilgerzell;05.01.2022;18:30;6
Jede;Rothemann;06.01.2022;18:30;8
Jede;Pilgerzell;10.01.2022;18:30;7
Jede;Rothemann;11.01.2022;18:30;9
Jede;Pilgerzell;12.01.2022;18:30;8
Jede;Rothemann;13.01.2022;18:30;10
Jede;Pilgerzell;17.01.2022;18:30;9
Jede;Rothemann;18.01.2022;18:30;11
Jede;Pilgerzell;19.01.2022;18:30;10
Jede;Rothemann;20.01.2022;18:30;12
Jede;Pilgerzell;24.01.2022;18:30;11
B;Rothemann;25.01.2022;18:30;13
Jede;Pilgerzell;26.01.2022;18:30;12
B;Rothemann;27.01.2022;18:30;14
B;Pilgerzell;31.01.2022;18:30;13
Jede;Rothemann;01.02.2022;18:30;1
B;Pilgerzell;02.02.2022;18:30;14
Jede;Rothemann;03.02.2022;18:30;2
Jede;Pilgerzell;07.02.2022;18:30;1
Jede;Rothemann;08.02.2022;18:30;3
Jede;Pilgerzell;09.02.2022;18:30;2
Jede;Rothemann;10.02.2022;18:30;4
Jede;Pilgerzell;14.02.2022;18:30;3
Jede;Rothemann;15.02.2022;18:30;5
Jede;Pilgerzell;16.02.2022;18:30;4
Jede;Rothemann;17.02.2022;18:30;6
Jede;Pilgerzell;21.02.2022;18:30;5
Jede;Rothemann;22.02.2022;18:30;7
Jede;Pilgerzell;23.02.2022;18:30;6
Jede;Rothemann;24.02.2022;18:30;8
Jede;Pilgerzell;28.02.2022;18:30;7
Jede;Rothemann;01.03.2022;18:30;9
Jede;Pilgerzell;02.03.2022;18:30;8
Jede;Rothemann;03.03.2022;18:30;10
Jede;Pilgerzell;07.03.2022;18:30;9
Jede;Rothemann;08.03.2022;18:30;11
Jede;Pilgerzell;09.03.2022;18:30;10
Jede;Rothemann;10.03.2022;18:30;12
Jede;Pilgerzell;14.03.2022;18:30;11
B;Rothemann;15.03.2022;18:30;13
Jede;Pilgerzell;16.03.2022;18:30;12
B;Rothemann;17.03.2022;18:30;14
B;Pilgerzell;21.03.2022;18:30;13
Jede;Rothemann;22.03.2022;18:30;1
B;Pilgerzell;23.03.2022;18:30;14
Jede;Rothemann;24.03.2022;18:30;2
Jede;Pilgerzell;28.03.2022;18:30;1
Jede;Rothemann;29.03.2022;18:30;3
Jede;Pilgerzell;30.03.2022;18:30;2
Jede;Rothemann;31.03.2022;18:30;4
